Resorts (532 Found),Avg User Rating,"Family /
Adults Only",Direct USD 2026,Direct CAD 2026,Value Ratio,AAA,Forbes,Hotel Class,Hyatt,Northstar,Deal Breakers?,Country,Area,Airport,Direct Flight,To / From Airport,Hotel Brand,Hotel Style,Amenities,Special Room Options,"Food, Beach, Party","Guaranteed
Connecting Rooms",Beds,"High
Rise",# of Rooms,Year Built,Year Renovated,Floors
Kempinski Hotel Cancún,92.5,Family,"$12,994.87","$18,132.46",0.96,4,4,5,,9,,Mexico,Cancun,Cancun,TRUE,0h 25m,,"Classic, Luxury","Gym, Diving, Room Service, Spa, Beach, Babysitting, Heated Pool, Buffet, Tennis, Evening Entertainment, Kids Club",Beach Front Rooms,,,1 King or 2 Double,TRUE,363,1993,2022,9
Akumal Bay Beach & Wellness Resort,92.3,Family,"$4,355.69","$6,077.73",2.82,,,5,,NYR,,Mexico,Akumal,Tulum,TRUE,1h 6m,,"Quiet, Family Resort","Beach, Kids Club, Babysitting, Snorkelling, Evening Entertainment, Gym, Diving, Yoga Classes, Tennis, Spa, Buffet, Restaurants Don't Require Reservations",,,Can't Book Two Rooms,1 King or 2 Twin,FALSE,310,,2014,4
"Sanctuary Cap Cana, A Luxury Collection Resort, Dominican Republic, Adult All-inclusive",92.3,Adults Only,"$6,900.00","$9,627.95",1.78,4,,5,,NYR,,Dominican Republic,Cap Cana,Punta Cana,TRUE,0h 18m,Marriott,"Green, Quaint","Beach, Gym, Nightclub, Swim Up Bar, Evening Entertainment, Spa, Buffet","Beach Front Rooms, Swim Up Rooms, Villas, Plunge Pool Rooms",,,1 King or 2 Queen,TRUE,324,2007,2019,6
Villa Del Palmar At The Islands Of Loreto By Danzante Bay,92.3,Family,"$6,911.00","$9,643.30",1.78,NYR,,4,,8,,Mexico,Loreto,Loreto,FALSE,0h 40m,The Villa Group,"Modern, Family","Beach, Kids Club, Heated Pool, Gym, Diving, Yoga Classes, Horseback Riding, Tennis, Evening Entertainment, Nightclub, Babysitting, Room Service, Hiking, Snorkelling, Watersports Equipment Rentals, Fishing, Spa, Buffet","2 Bedroom Suites, Swim Up Rooms",,,1 King or 2 Queen,TRUE,338,2011,2021,7
Family Selection at Grand Palladium Select Costa Mujeres,92.3,Family,"$8,306.95","$11,591.14",1.48,4,,5,,NYR,,Mexico,Playa Mujeres,Cancun,TRUE,0h 44m,Wyndham Hotels,"Charming, Business","Gym, Buffet, Beach, Babysitting, Spa, Kids Club for Under 4, Water Feature, Wi-Fi Free, Waterpark For Little Kids",Beach Front Rooms,,,1 King or 2 Double,FALSE,670,2018,,2
"The Landings Resort and Spa, St. Lucia",92.3,Family,"$14,301.00","$19,954.97",0.86,4,,4.5,,9,,Saint Lucia,Rodney Bay,George F. L. Charles,FALSE,0h 25m,,"Family, Family Resort","Beach, Kids Club, Gym, Diving, Tennis, Evening Entertainment, Babysitting, Watersports Equipment Rentals, Fishing, Spa, Buffet, Wi-Fi Free","2 Bedroom Suites, Beach Front Rooms, Plunge Pool Rooms, Villas",,,2 King and 2 Twin,FALSE,85,2007,2016,4
Blue Waters Resort & Spa - Antigua,92.3,Family,"$15,000.00","$20,930.33",0.82,3,,,,7,,Antigua,St. John's,V.C. Bird,TRUE,0h 16m,,"Romantic, Family","Beach, Kids Club, Gym, Snorkelling, Tennis, Evening Entertainment, Babysitting, Adult Pool, Watersports Equipment Rentals, Fishing, Spa, Buffet, Wi-Fi Free","Beach Front Rooms, Plunge Pool Rooms, Villas",,,1 King,FALSE,116,1960,2016,2
Secrets Playa Blanca Costa Mujeres,92.3,Adults Only,"$16,415.00","$22,904.75",0.75,,,5,E,,,Mexico,Costa Mujeres,Cancun,TRUE,0h 47m,Hyatt,"Romantic, Luxury","Beach, Evening Entertainment, Spa, Gym, Buffet, Restaurants Don't Require Reservations, Wi-Fi Free",Swim Up Rooms,Great Food,,1 King,FALSE,507,2024,,5
Paradisus Río De Oro Resort & Spa,92.0,Adults Only,"$1,701.00","$2,373.50",7.05,,,4.5,,8,,Cuba,Holguin,Holguin,TRUE,1h 7m,Melia,"Quiet, Luxury","Beach, Gym, Snorkelling, Yoga Classes, Buffet, Swim Up Bar, Tennis, Evening Entertainment, Nightclub, Spa, Adult Pool","Plunge Pool Rooms, Villas",,,1 King,FALSE,354,2008,,
Melia Buenavista,92.0,Adults Only,"$2,527.00","$3,526.06",4.75,,,5,,7,,Cuba,Cayo Santa Maria,Cayo Coco,TRUE,1h 39m,Melia,"Quiet, Luxury","Beach, Gym, Diving, Buffet, Snorkelling, Fishing, Room Service, Tennis, Evening Entertainment",Villas,,,1 King,FALSE,105,2010,,2
Melia Internacional Varadero,92.0,Family,"$2,667.00","$3,721.41",4.50,,,5,,6,,Cuba,Varadero,Varadero,TRUE,0h 26m,Melia,"Trendy, Modern","Beach, Kids Club, Gym, Buffet, Swim Up Bar, Tennis, Babysitting, Snorkelling, Evening Entertainment, Spa",Adults Only Rooms,Great Beach,,1 King or 2 Double,TRUE,163,1950,1998,4
Paradisus La Perla - Adults Only,92.0,Adults Only,"$2,737.00","$3,819.09",4.38,4,Recommended,5,,9,,Mexico,Playa del Carmen,Cancun,TRUE,0h 48m,Melia,"Business, Romantic","Beach, Gym, Diving, Buffet, Swim Up Bar, Watersports Equipment Rentals, Room Service, Evening Entertainment, Nightclub, Spa, Wi-Fi Free","2 Bedroom Suites, Swim Up Rooms",Great Food,,1 King or 2 Double,FALSE,394,2011,,
Marquis Los Cabos,92.0,Adults Only,"$3,726.00","$5,199.09",3.22,4,,5,,8,,Mexico,San Jose del Cabo,Los Cabos,TRUE,0h 27m,,"Great View, Quiet","Beach, Heated Pool, Gym, Buffet, Golf Course, Tennis, Evening Entertainment, Nightclub, Spa, Pets Allowed, Room Service, Diving, Horseback Riding, Fishing, Wi-Fi Free",Plunge Pool Rooms,,,2 Double and 1 Sofa Bed,TRUE,235,2003,2015,5
Premium Level at Barceló Maya Palace,92.0,Family,"$5,270.20","$7,353.80",2.28,,,1,,8,,Mexico,Puerto Aventuras,Cancun,TRUE,1h 5m,Barcelo,"Trendy, Family","Beach, Kids Club, Teen Club, Lazy River, Pool Slide, Water Feature, Heated Pool, Gym, Diving, Buffet, Tennis, Evening Entertainment, Nightclub, Spa, Babysitting, Adult Pool, Swim Up Bar, Snorkelling, Wi-Fi Paid, Waterpark For Little Kids",,,Can't Book Two Rooms,1 King or 2 Double,FALSE,756,2007,,3
Zel Punta Cana,92.0,Family,"$5,917.00","$8,256.32",2.03,,,5,,NYR,,Dominican Republic,Bavaro,Punta Cana,TRUE,0h 22m,Melia,"Business, Luxury","Beach, Kids Club, Lazy River, Pool Slide, Water Feature, Gym, Casino, Yoga Classes, Golf Course, Watersports Equipment Rentals, Spa, Swim Up Bar, Buffet, Tennis","2 Bedroom Suites, Swim Up Rooms",,,1 King or 2 Double,FALSE,190,,2024,
Sandals Dunn's River (Couples only),92.0,Adults Only,"$7,132.20","$9,951.95",1.68,,,,,NYR,Couples Only,Jamaica,Ochos Rios,Sangster,TRUE,1h 28m,Sandals Resorts International,"Romantic, Luxury","Beach, Gym, Swim Up Bar, Spa, Buffet, Evening Entertainment, Nightclub, Wi-Fi Free","Villas, Plunge Pool Rooms, Swim Up Rooms",,,1 King,FALSE,260,1958,2022,3
Stonefield Villa Resort (17+),92.0,Adults Only,"$7,446.62","$10,390.68",1.61,,,4,,5,17+ Allowed,Saint Lucia,Soufriere,George F. L. Charles,FALSE,1h 21m,,"Quiet, Ocean View","Gym, Yoga Classes, Hiking, Evening Entertainment, Spa, Room Service, Diving, Snorkelling, Fishing, Wi-Fi Free","Villas, Plunge Pool Rooms",,,1 Queen,FALSE,17,1973,,
Sandals Grenada (Couples only),92.0,Adults Only,"$7,776.70","$10,851.26",1.54,4,,,,NYR,Couples Only,Grenada,Pink Gin Beach,Point Saline,FALSE,0h 5m,Sandals Resorts International,"Modern, Quiet","Beach, Gym, Diving, Spa, Buffet, Swim Up Bar, Tennis, Evening Entertainment","Beach Front Rooms, Swim Up Rooms, Plunge Pool Rooms, Villas",,,1 King,FALSE,257,1993,2013,
Iberostar Selection Coral Bávaro,92.0,Family,"$8,329.10","$11,622.05",1.44,,,5,,7,,Dominican Republic,Bavaro,Punta Cana,TRUE,0h 29m,IHG,"Charming, Ocean View","Beach, Kids Club, Gym, Casino, Snorkelling, Evening Entertainment, Babysitting, Buffet, Tennis, Nightclub, Spa, Wi-Fi Free, Waterpark For Little Kids",2 Bedroom Suites,,Yes,2 King or 2 Double,FALSE,162,2019,,
Zoetry Agua Punta Cana,92.0,Family,"$14,224.00","$19,847.53",0.84,4,,5,E,9,,Dominican Republic,Uvero Alto,Punta Cana,TRUE,0h 46m,Hyatt,"Quiet, Romantic","Beach, Lazy River, Gym, Room Service, Evening Entertainment, Adult Pool, Swim Up Bar, Diving, Fishing, Spa, Wi-Fi Free","2 Bedroom Suites, Swim Up Rooms, Villas, Plunge Pool Rooms",,Can't Book Two Rooms,1 King or 2 Queen,FALSE,96,2006,2013,3
El Cid Marina Beach Hotel,91.8,Family,"$2,348.72","$3,277.30",5.02,3,,4.5,,6,,Mexico,Mazatlan,Gen Rafael Buelna,FALSE,0h 30m,El Cid Resorts,"Quiet, Family","Beach, Pool Slide, Water Feature, Heated Pool, Gym, Golf Course, Evening Entertainment, Kids Club, Spa, Babysitting, Buffet, Swim Up Bar, Tennis, Fishing, Wi-Fi Paid",,,,2 Queen,FALSE,294,1987,2000,27
Villa Premiere Boutique Hotel & Romantic Getaway,91.8,Adults Only,"$4,251.14","$5,931.85",2.78,4,,5,,7,,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 19m,Buena Aventura Hoteles,"Charming, Great View","Beach, Heated Pool, Gym, Bicycles Available, Yoga Classes, Swim Up Bar, Hiking, Snorkelling, Evening Entertainment, Spa, Room Service, Diving, Horseback Riding, Fishing, Wi-Fi Free",,,,1 King or 2 Double,TRUE,80,1999,2017,8
Velas Vallarta,91.8,Family,"$4,620.00","$6,446.54",2.55,3,,4,,7,,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 6m,Velas Resorts,"Family, Park View","Beach, Kids Club, Teen Club, Lazy River, Heated Pool, Gym, Diving, Evening Entertainment, Spa, Babysitting, Swim Up Bar, Tennis, Fishing, Buffet, Wi-Fi Paid","2 Bedroom Suites, Family Suite",,,1 King or 2 Twin 1 Sofa Bed,TRUE,345,1990,2005,9
Hyatt Ziva Cancun,91.8,Family,"$7,940.10","$11,079.26",1.49,4,,3.5,F,8,,Mexico,Cancun,Cancun,TRUE,0h 27m,Hyatt,"Modern, Trendy","Beach, Kids Club, Teen Club, Pool Slide, Water Feature, Heated Pool, Gym, Adult Pool, Swim Up Bar, Evening Entertainment, Nightclub, Spa, Babysitting, Buffet, Restaurants Don't Require Reservations, Wi-Fi Free, Waterpark For Little Kids","Adults Only Rooms, Swim Up Rooms, 2 Bedroom Suites",Great Food,Can Request,2 Queen,TRUE,547,2015,,16
Hotel Xcaret México,91.8,Family,"$9,878.40","$13,783.87",1.19,5,4,,,7,,Mexico,Playa del Carmen,Cancun,TRUE,0h 57m,Hoteles Xcaret,"River View, Lagoon View","Beach, Kids Club, Teen Club, Lazy River, Pool Slide, Water Feature, Heated Pool, Gym, Bicycles Available, Yoga Classes, Adult Pool, Swim Up Bar, Tennis, Babysitting, Room Service, Evening Entertainment, Nightclub, Spa, Buffet, Wi-Fi Free, Waterpark For Little Kids","Adults Only Rooms, Family Suite, Swim Up Rooms",Great Food,,2 Double,FALSE,900,2017,,6
The Explorean Cozumel,91.7,Family,"$3,201.40","$4,467.09",3.65,,,4,,7,,Mexico,Cozumel,Cozumel,TRUE,0h 19m,Fiesta Americana Travelty,"Quiet, Modern","Kids Club, Heated Pool, Gym, Snorkelling, Evening Entertainment, Spa, Bicycles Available, Buffet, Diving, Beach, Wi-Fi Free",,,,2 Double,FALSE,56,2014,,2
"Couples Tower Isle (Nude areas, Couples only)",91.7,Adults Only,"$3,213.00","$4,483.28",3.64,,,5,,7,"Nude Areas, Couples Only",Jamaica,Ochos Rios,Sangster,TRUE,1h 36m,Couples Resorts,"Quiet, Romantic","Beach, Gym, Buffet, Diving, Tennis, Windsurfing, Evening Entertainment, Nightclub, Room Service, Swim Up Bar, Snorkelling, Watersports Equipment Rentals, Spa","Villas, Plunge Pool Rooms",Great Food,,1 King,FALSE,218,1949,2009,5
Barcelo Maya Palace,91.7,Family,"$4,392.31","$6,128.83",2.66,4,,,,8,,Mexico,Barcelo Maya,Cancun,TRUE,1h 5m,Barcelo,"Quiet, Luxury","Beach, Kids Club, Teen Club, Pool Slide, Water Feature, Flowrider, Gym, Diving, Adult Pool, Swim Up Bar, Snorkelling, Spa, Babysitting, Buffet, Mini Golf, Tennis, Evening Entertainment, Nightclub, Waterpark For Little Kids",Family Suite,,,1 King or 2 Double,FALSE,756,2007,,3
Iberostar Selection Praia Do Forte,91.7,Family,"$4,512.97","$6,297.20",2.59,,,5,,7,,Brazil,Praia do Forte,Luis E. Magalhaes,FALSE,1h 1m,IHG,"Modern, Trendy","Beach, Kids Club, Gym, Diving, Yoga Classes, Buffet, Swim Up Bar, Snorkelling, Spa, Babysitting, Tennis, Evening Entertainment, Nightclub","2 Bedroom Suites, Family Suite",,Yes,1 King,FALSE,536,2008,,
"Grand Lido Negril Au-Naturel, An Autograph Collection All-Inclusive Resort - Adults Only (Clothing optional, Nude areas)",91.7,Adults Only,"$5,487.79","$7,657.42",2.13,,,4,,7,"Clothing Optional, Nude Areas",Jamaica,Negril,Sangster,TRUE,1h 18m,Marriott,"Luxury, Trendy","Beach, Heated Pool, Gym, Buffet, Tennis, Nightclub, Swim Up Bar, Room Service, Snorkelling, Evening Entertainment, Spa, Wi-Fi Free",Swim Up Rooms,Great Beach,,1 King or 2 Queen,FALSE,26,2017,,
Iberostar Selection Hacienda Dominicus,91.7,Family,"$5,535.03","$7,723.33",2.11,3,,5,,8,,Dominican Republic,Bayahibe,Punta Cana,TRUE,0h 50m,IHG,"Quiet, Trendy","Gym, Diving, Yoga Classes, Buffet, Swim Up Bar, Snorkelling, Kids Club, Spa, Beach, Babysitting, Tennis, Evening Entertainment, Nightclub, Water Feature, Teen Club",Plunge Pool Rooms,,Yes,1 King or 2 Double,FALSE,504,2001,2023,7
Sandos Finisterra,91.7,Family,"$6,668.06","$9,304.31",1.75,3,,5,,6,,Mexico,Los Cabos,Los Cabos,TRUE,0h 39m,Sandos,"Harbour View, Marina View","Beach, Heated Pool, Gym, Diving, Buffet, Swim Up Bar, Tennis, Fishing, Nightclub, Babysitting, Adult Pool, Room Service, Snorkelling, Evening Entertainment, Kids Club, Spa, Restaurants Don't Require Reservations",,,,1 King or 2 Double,FALSE,272,1969,2016,8
Sandals Saint Vincent (Couples only),91.7,Adults Only,"$8,400.40","$11,721.54",1.39,,,,,7,Couples Only,Saint Vincent,Buccament,Argyle,FALSE,0h 46m,Sandals Resorts International,"Business, Romantic","Beach, Buffet, Spa, Gym, Diving, Swim Up Bar, Evening Entertainment, Wi-Fi Free","Swim Up Rooms, Plunge Pool Rooms, Villas, Over Water Rooms",,,1 King,FALSE,301,,2023,
Impression Isla Mujeres by Secrets,91.7,Adults Only,"$9,226.00","$12,873.55",1.27,4,,5,F,NYR,,Mexico,Isla Mujeres,Cancun,TRUE,1h 16m,Hyatt,"Romantic, Luxury","Beach, Swim Up Bar, Snorkelling, Evening Entertainment, Spa, Gym, Yoga Classes, Room Service, Diving, Restaurants Don't Require Reservations, Wi-Fi Free",,Great Food,,1 King or 2 Double,FALSE,125,2023,,
Aston Costa Verde Beach Resort,91.5,Family,$595.00,$830.24,19.33,,,4,,,,Cuba,Rafael Freyre,Holguin,TRUE,1h 3m,,"Business, Mid-Range","Beach, Kids Club, Teen Club, Babysitting, Buffet, Evening Entertainment, Gym, Tennis, Nightclub",,,,1 King or 2 Twin,FALSE,749,2020,,4
Sol Varadero Beach,91.5,Adults Only,"$1,512.00","$2,109.78",7.61,,,4,,4,,Cuba,Varadero,Varadero,TRUE,0h 27m,,"Mid-Range, Ocean View","Beach, Gym, Buffet, Swim Up Bar, Snorkelling, Evening Entertainment, Tennis, Nightclub",,Great Beach,,1 King or 2 Double,FALSE,582,,2005,
Royalton Cayo Santa Maria,91.5,Adults Only,"$1,914.36","$2,671.21",6.01,,,4,,,,Cuba,Cayo Santa Maria,Santa Clara,TRUE,1h 36m,Royalton,"Romantic, Modern","Beach, Gym, Diving, Buffet, Evening Entertainment",,,,1 King or 2 Double,FALSE,122,2012,2017,2
Secrets Tide Punta Cana,91.5,Adults Only,"$5,544.00","$7,735.85",2.07,4,,5,C,NYR,,Dominican Republic,Punta Cana,Punta Cana,TRUE,0h 41m,Hyatt,"Romantic, Luxury","Beach, Gym, Diving, Room Service, Swim Up Bar, Snorkelling, Evening Entertainment, Nightclub, Spa, Buffet, Restaurants Don't Require Reservations, Wi-Fi Free",Swim Up Rooms,Great Food,,1 King or 2 Double,FALSE,668,2023,,
Villa La Estancia Beach Resort & Spa,91.5,Family,"$9,082.00","$12,672.61",1.27,4,,4,,7,,Mexico,Cabo San Lucas,Los Cabos,TRUE,0h 35m,The Villa Group,"Value, Bay View","Beach, Lazy River, Heated Pool, Gym, Snorkelling, Fishing, Kids Club, Spa, Babysitting, Swim Up Bar, Room Service, Tennis",2 Bedroom Suites,,,2 Queen,TRUE,156,2001,,8
Club Med Cancun,91.5,Family,"$9,909.72","$13,827.58",1.16,,,4.5,,7,,Mexico,Cancun,Cancun,TRUE,0h 19m,Club Med,"Marina View, Lagoon View","Beach, Kids Club, Teen Club, Pool Slide, Water Feature, Kids Club for Under 4, Gym, Tennis, Spa, Babysitting, Buffet, Diving, Evening Entertainment, Nightclub, Waterpark For Little Kids","2 Bedroom Suites, Family Suite",,Yes,2 Bedrooms,FALSE,376,1976,2024,3
Blue Haven Resort,91.5,Family,"$12,047.00","$16,809.84",0.95,NYR,,,,7,,Turks and Caicos,Leeward,Providenciales,TRUE,0h 23m,,"Quiet, Modern","Beach, Kids Club, Gym, Bicycles Available, Yoga Classes, Buffet, Swim Up Bar, Snorkelling, Evening Entertainment, Babysitting, Spa, Wi-Fi Free",2 Bedroom Suites,,,1 King and 1 Sofa Bed,FALSE,35,2013,,5
Bahia Principe Grand Samana,91.3,Adults Only,"$2,310.00","$3,223.27",4.89,,,,,7,,Dominican Republic,Punta Balandra,Samaná El Catey,TRUE,1h 11m,Bahia Principe,"Quiet, Romantic","Gym, Buffet, Evening Entertainment, Spa, Beach, Lazy River",,,,1 King,FALSE,149,2006,2015,5
Brisa Grand Premium - All Inclusive,91.3,Family,"$2,885.12","$4,025.77",3.92,,,,,,,Brazil,Costa Do Sauipe,Luis E. Magalhaes,FALSE,1h 16m,,"Trendy, Romantic","Gym, Bicycles Available, Tennis, Kids Club, Beach, Adult Pool, Buffet, Hiking, Evening Entertainment, Golf Course, Wi-Fi Free",,,,1 Double and 1 Sofa Bed,FALSE,196,,2021,4
Hotel Riu Palace Las Americas,91.3,Adults Only,"$3,645.60","$5,086.91",3.10,,,5,,8,,Mexico,Cancun,Cancun,TRUE,0h 27m,Riu,"Classic, Bay View","Beach, Gym, Diving, Buffet, Swim Up Bar, Snorkelling, Fishing, Spa, Evening Entertainment, Restaurants Don't Require Reservations",,Great for Parties,,1 King or 2 Double,TRUE,372,2004,2016,8
Pueblo Bonito Mazatlan Beach Resort,91.3,Family,"$3,774.40","$5,266.63",2.99,3,,5,,6,,Mexico,Mazatlan,Gen Rafael Buelna,FALSE,0h 32m,Pueblo Bonito,"Quaint, Ocean View","Beach, Heated Pool, Gym, Buffet, Swim Up Bar, Fishing",Family Suite,,,1 King or 2 Double,FALSE,247,1986,2018,4
Playacar Palace,91.3,Family,"$4,046.00","$5,645.61",2.79,4,,5,,7,,Mexico,Playa del Carmen,Cancun,TRUE,0h 54m,Palace Resorts,"Value, Family Resort","Beach, Gym, Bicycles Available, Buffet, Swim Up Bar, Diving, Fishing, Kids Club, Spa, Babysitting, Room Service, Snorkelling, Evening Entertainment, Wi-Fi Free","Beach Front Rooms, 2 Bedroom Suites",,,1 King or 2 Double,FALSE,201,1991,2018,6
"Couples Sans Souci (Nude areas, Couples only)",91.3,Adults Only,"$4,125.00","$5,755.84",2.74,,,5,,8,"Nude Areas, Couples Only",Jamaica,Ochos Rios,Sangster,TRUE,1h 33m,Couples Resorts,"Quiet, Bay View","Beach, Gym, Bicycles Available, Yoga Classes, Room Service, Swim Up Bar, Snorkelling, Watersports Equipment Rentals, Spa, Buffet, Diving, Tennis, Evening Entertainment, Wi-Fi Free","Beach Front Rooms, Villas",Great Food,,1 King,FALSE,150,1952,2022,3
"Couples Resorts Negril (Nude areas, Couples only)",91.3,Adults Only,"$4,485.00","$6,258.17",2.52,,,5,,9,"Nude Areas, Couples Only",Jamaica,Negril,Sangster,TRUE,1h 16m,Couples Resorts,"Green, Luxury","Beach, Gym, Buffet, Tennis, Windsurfing, Yoga Classes, Room Service, Swim Up Bar, Diving, Snorkelling, Watersports Equipment Rentals, Evening Entertainment, Nightclub, Spa",Beach Front Rooms,"Great Beach, Great Food",,1 King,FALSE,234,1999,2013,3
Ti Kaye Resort & Spa,91.3,Adults Only,"$4,566.80","$6,372.31",2.47,3,,4,,6,,Saint Lucia,Anse Cochon,George F. L. Charles,FALSE,0h 47m,,"Quiet, Romantic","Gym, Diving, Room Service, Hiking, Evening Entertainment, Beach, Yoga Classes, Buffet, Snorkelling, Fishing, Spa, Wi-Fi Free","Villas, Plunge Pool Rooms",,,1 King,FALSE,33,1991,2008,
Sunset at the Palms,91.3,Adults Only,"$4,678.81","$6,528.60",2.42,,,4,,7,,Jamaica,Negril,Sangster,TRUE,1h 15m,,"Green, Quiet","Beach, Gym, Diving, Buffet, Swim Up Bar, Snorkelling, Evening Entertainment, Room Service, Watersports Equipment Rentals, Spa",,Great Beach,,1 King,FALSE,85,1986,2007,1
Margaritaville Island Reserve Riviera Cancun by Karisma,91.3,Family,"$4,961.02","$6,922.38",2.28,4,,5,,NYR,,Mexico,Puerto Morelos,Cancun,TRUE,0h 23m,Margaritaville,"Quaint, Charming","Beach, Kids Club, Gym, Diving, Yoga Classes, Swim Up Bar, Snorkelling, Windsurfing, Spa, Room Service, Watersports Equipment Rentals, Evening Entertainment, Buffet, Wi-Fi Free",Swim Up Rooms,,Can't Book Two Rooms,2 Queen,FALSE,146,2008,,3
Majestic Elegance Punta Cana,91.3,Family,"$5,203.94","$7,261.34",2.17,,,5,,8,,Dominican Republic,Bavaro,Punta Cana,TRUE,0h 26m,Majestic Resorts,"Value, Business","Beach, Teen Club, Pool Slide, Water Feature, Gym, Buffet, Tennis, Kids Club, Spa, Babysitting, Adult Pool, Room Service, Swim Up Bar, Snorkelling, Evening Entertainment, Nightclub, Waterpark For Little Kids","Adults Only Rooms, Swim Up Rooms",Great Food,,1 King or 2 Double,FALSE,597,2008,,4
Pueblo Bonito Pacifica,91.3,Adults Only,"$5,331.20","$7,438.92",2.12,4,,5,,7,,Mexico,Cabo San Lucas,Los Cabos,TRUE,0h 48m,Pueblo Bonito,"Green, Quiet","Beach, Heated Pool, Gym, Golf Course, Buffet, Swim Up Bar, Hiking, Evening Entertainment, Yoga Classes, Room Service, Tennis, Fishing, Spa, Wi-Fi Paid",,,,1 King or 2 Queen,FALSE,154,2005,,5
Princess Senses the Mangrove,91.3,Adults Only,"$5,781.42","$8,067.13",1.95,,,5,,NYR,,Jamaica,Green Island,Sangster,TRUE,1h 6m,,"Business, Romantic","Gym, Yoga Classes, Buffet, Evening Entertainment, Nightclub, Spa, Room Service, Swim Up Bar, Snorkelling, Beach, Wi-Fi Free","Swim Up Rooms, 2 Bedroom Suites, Over Water Rooms",,,1 King or 2 Queen,FALSE,415,2024,,4
Villa La Estancia Beach Resort & Spa Riviera Nayarit,91.3,Family,"$6,172.00","$8,612.13",1.83,4,,5,,7,,Mexico,Flamingos,Ordaz,TRUE,0h 25m,The Villa Group,"Quiet, Trendy","Beach, Kids Club, Heated Pool, Gym, Diving, Swim Up Bar, Tennis, Babysitting, Spa",2 Bedroom Suites,,,2 Queen,TRUE,245,2007,,10
"Alaia Belize, Autograph Collection",91.3,Family,"$9,288.92","$12,961.34",1.22,NYR,,4.5,,7,,Belize,San Pedro,Philip S.W. Goldson,FALSE,,Marriott,"Business, Modern","Gym, Buffet, Diving, Watersports Equipment Rentals, Evening Entertainment, Spa, Beach, Room Service, Swim Up Bar, Snorkelling, Fishing, Wi-Fi Free","2 Bedroom Suites, Beach Front Rooms, Villas, Plunge Pool Rooms",,,1 King and 1 Queen,FALSE,154,2020,,
Iberostar Selection Holguin,91.0,Family,"$2,276.65","$3,176.73",4.83,,,5,,NYR,,Cuba,Holguin,Holguin,TRUE,1h 0m,IHG,"Trendy, Great View","Beach, Kids Club, Gym, Archery, Yoga Classes, Swim Up Bar, Tennis, Evening Entertainment, Babysitting, Buffet, Snorkelling, Nightclub, Spa, Wi-Fi Paid, Waterpark For Little Kids","2 Bedroom Suites, Family Suite",,Yes,2 Double,FALSE,,2018,,
Sugar Cane Club Hotel & Spa,91.0,Adults Only,"$2,839.41","$3,961.98",3.87,3,,4,,7,,Barbados,Saint Peter Parish,Grantley Adams,TRUE,0h 41m,,"Quiet, Business","Gym, Buffet, Spa, Bicycles Available, Evening Entertainment, Wi-Fi Free",2 Bedroom Suites,,,1 King or 2 Twin,TRUE,47,1972,2008,3
Ocean Palace Beach Resort & Bungalows (Non Refundable),91.0,Family,"$2,902.36","$4,049.82",3.79,,,5,,NYR,Non Refundable,Brazil,Natal,Greater Natal,FALSE,0h 43m,,"Family Resort, Luxury","Gym, Adult Pool, Swim Up Bar, Tennis, Evening Entertainment, Beach, Lazy River, Heated Pool, Kids Club, Spa, Arcade, Buffet","Villas, Plunge Pool Rooms",,,"1 Queen, 1 Double",FALSE,315,1995,2003,6
Gran Muthu Almirante Beach Hotel,91.0,Family,"$3,393.59","$4,735.26",3.24,,,5,,,,Cuba,Guardalavaca,Holguin,TRUE,1h 8m,Mutha Hotels MGM,"Business, Romantic","Beach, Kids Club, Teen Club, Gym, Archery, Buffet, Swim Up Bar, Bicycles Available, Snorkelling, Evening Entertainment, Spa, Babysitting, Adult Pool, Room Service, Diving, Horseback Riding, Tennis, Watersports Equipment Rentals, Nightclub, Waterpark For Little Kids",Adults Only Rooms,,Yes,1 King or 2 Double,FALSE,514,2021,,3
Iberostar Waves Bahia,91.0,Family,"$3,443.55","$4,804.97",3.19,,,5,,6,,Brazil,Praia do Forte,Luis E. Magalhaes,FALSE,1h 1m,IHG,"Quiet, Family","Gym, Archery, Buffet, Hiking, Tennis, Evening Entertainment, Nightclub, Spa, Beach, Babysitting, Yoga Classes, Swim Up Bar, Bicycles Available, Golf Course, Mini Golf, Kids Club","2 Bedroom Suites, Family Suite",,Yes,1 King,FALSE,632,2006,2017,6
Serenade All Suites Adults Only Resort,91.0,Adults Only,"$3,591.00","$5,010.72",3.06,,,5,,NYR,,Dominican Republic,Cabeza De Toro,Punta Cana,TRUE,0h 17m,Serenade Caribbean Resorts,"Business, Romantic","Beach, Gym, Swim Up Bar, Windsurfing, Nightclub, Spa, Buffet, Snorkelling, Evening Entertainment, Wi-Fi Free","Swim Up Rooms, Plunge Pool Rooms",,,1 King or 2 Queen,FALSE,625,2020,,
Secrets La Romana Resort and Spa,91.0,Adults Only,"$3,824.52","$5,336.56",2.88,4,,5,C,8,,Dominican Republic,Bayahibe,Punta Cana,TRUE,0h 51m,Hyatt,"Family, Modern","Beach, Gym, Buffet, Casino, Snorkelling, Evening Entertainment, Nightclub, Room Service, Diving, Tennis, Fishing, Spa, Restaurants Don't Require Reservations",Swim Up Rooms,,,1 King or 2 Queen,FALSE,356,1997,2019,4
